Paper Title,Temperature,Temperature Unit,Pressure,Pressure Unit,CaCl2 Concentration,NaCl Concentration,KCl Concentration,MgCl2 Concentration,Concentration Unit,CO2 Solubility,Solubility Unit,Unconverged data (*)
Liu - 2021,373,kelvin,17.2353825,MPa,0.137217755,0,0,0,mol/kg,1.005,mol/kg,
Liu - 2021,373,kelvin,19.3024125,MPa,0.137217755,0,0,0,mol/kg,1.055,mol/kg,
Liu - 2021,298,kelvin,0.101325,MPa,0.004509826,0,0,0.005256806,mol/kg,0.033,mol/kg,
Liu - 2021,298,kelvin,2.06703,MPa,0.004509826,0,0,0.005256806,mol/kg,0.605,mol/kg,
Liu - 2021,298,kelvin,4.13406,MPa,0.004509826,0,0,0.005256806,mol/kg,1.31135,mol/kg,
Liu - 2021,298,kelvin,6.20109,MPa,0.004509826,0,0,0.005256806,mol/kg,1.348,mol/kg,
Liu - 2021,298,kelvin,8.26812,MPa,0.004509826,0,0,0.005256806,mol/kg,1.391,mol/kg,
Liu - 2021,298,kelvin,10.33515,MPa,0.004509826,0,0,0.005256806,mol/kg,1.425,mol/kg,
Liu - 2021,298,kelvin,13.7903325,MPa,0.004509826,0,0,0.005256806,mol/kg,1.477,mol/kg,
Liu - 2021,298,kelvin,15.8573625,MPa,0.004509826,0,0,0.005256806,mol/kg,1.507,mol/kg,*
Liu - 2021,298,kelvin,17.2353825,MPa,0.004509826,0,0,0.005256806,mol/kg,1.527,mol/kg,*
Liu - 2021,298,kelvin,19.3024125,MPa,0.004509826,0,0,0.005256806,mol/kg,1.547,mol/kg,
Liu - 2021,298,kelvin,0.101325,MPa,0.045508245,0,0,0.053045952,mol/kg,0.032,mol/kg,
